Object,Correct_Location,Wrong_Locations
action figure,childs room,"['basement', 'bar', 'dumpster', 'freezer']"
adjustable wrench,childs room,"['box', 'room', 'house', 'bar']"
alarmclock,bedroom,"['freezer', 'cellar', 'trap', 'television room']"
aluminumfoil,kitchen,"['television room', 'living room', 'basement', 'attic']"
android figure,exercise room,"['basement', 'oven', 'dumpster', 'jar']"
anti slip tape,bedroom,"['oven', 'can', 'oven', 'can']"
antidepressant,playroom,"['room', 'jar', 'bar', 'family room']"
apple,kitchen,"['oven', 'oven', 'room', 'family room']"
armchair,living room,"['lobby', 'can', 'freezer', 'freezer']"
backpack,storage room,"['trap', 'family room', 'oven', 'box']"
balancing cactus,dining room,"['bar', 'dumpster', 'freezer', 'house']"
banana,pantry room,"['family room', 'attic', 'dumpster', 'bar']"
baseball,bedroom,"['freezer', 'freezer', 'box', 'room']"
baseballbat,bedroom,"['box', 'jar', 'house', 'bathroom']"
basketball,bedroom,"['freezer', 'attic', 'trap', 'jar']"
bat,attic,"['box', 'family room', 'freezer', 'home office']"
bath sheet,dining room,"['cellar', 'dumpster', 'jar', 'room']"
bathtub,bathroom,"['exercise room', 'living room', 'family room', 'attic']"
bathtubbasin,bathroom,"['can', 'living room', 'room', 'garage']"
batter,box,"['garage', 'dumpster', 'dining room', 'childs room']"
battery,storage room,"['can', 'house', 'oven', 'family room']"
beard color gel,playroom,"['trap', 'trap', 'bar', 'oven']"
beauty pack,utility room,"['can', 'jar', 'family room', 'oven']"
bed,bedroom,"['childs room', 'bathroom', 'home office', 'living room']"
bleach cleanser,kitchen,"['oven', 'room', 'family room', 'attic']"
blender jar,dining room,"['family room', 'bar', 'jar', 'attic']"
blind,kitchen,"['playroom', 'trap', 'basement', 'attic']"
board game,lobby,"['jar', 'trap', 'freezer', 'dumpster']"
book,bedroom,"['attic', 'box', 'house', 'oven']"
bookend,playroom,"['family room', 'attic', 'bar', 'freezer']"
boot,bedroom,"['closet', 'house', 'corridor', 'kitchen']"
bottle,kitchen,"['childs room', 'dumpster', 'closet', 'house']"
bowl,kitchen,"['can', 'house', 'box', 'bar']"
box,living room,"['house', 'bar', 'oven', 'trap']"
bread,kitchen,"['childs room', 'utility room', 'dumpster', 'corridor']"
bundt pan,corridor,"['trap', 'attic', 'room', 'jar']"
butter dish,dining room,"['attic', 'freezer', 'trap', 'bar']"
butterknife,kitchen,"['bathroom', 'childs room', 'family room', 'bedroom']"
cabinet,kitchen,"['childs room', 'pantry room', 'closet', 'trap']"
cake mix,exercise room,"['can', 'room', 'can', 'trap']"
cake pan,storage room,"['bar', 'freezer', 'jar', 'box']"
camera,bedroom,"['family room', 'bar', 'bar', 'house']"
can opener,garage,"['trap', 'cellar', 'dumpster', 'dumpster']"
candle,bathroom,"['bedroom', 'childs room', 'bedroom', 'bar']"
candle holder,bathroom,"['cellar', 'family room', 'attic', 'can']"
candy,bedroom,"['box', 'oven', 'cellar', 'box']"
candy bar,playroom,"['oven', 'cellar', 'cellar', 'basement']"
canister,dining room,"['cellar', 'trap', 'jar', 'dumpster']"
card game,dining room,"['dumpster', 'basement', 'bar', 'jar']"
carrying case,childs room,"['trap', 'box', 'oven', 'freezer']"
casserole dish,home office,"['trap', 'basement', 'box', 'oven']"
cd,bedroom,"['house', 'kitchen', 'lobby', 'box']"
cellphone,living room,"['room', 'trap', 'bathroom', 'exercise room']"
cereal,exercise room,"['jar', 'bar', 'cellar', 'basement']"
chain,playroom,"['family room', 'bar', 'bar', 'cellar']"
chair,bedroom,"['dining room', 'home office', 'exercise room', 'cellar']"
chocolate,exercise room,"['freezer', 'trap', 'can', 'family room']"
chocolate box,exercise room,"['trap', 'attic', 'jar', 'cellar']"
chocolate milk pods,television room,"['freezer', 'attic', 'freezer', 'room']"
chocolate powder,television room,"['house', 'freezer', 'dumpster', 'bar']"
chopping board,dining room,"['basement', 'freezer', 'can', 'room']"
clamp,childs room,"['jar', 'trap', 'attic', 'attic']"
clay,bathroom,"['family room', 'freezer', 'bar', 'freezer']"
clock,home office,"['room', 'house', 'trap', 'dumpster']"
cloth,bathroom,"['dumpster', 'box', 'family room', 'freezer']"
coffee beans,closet,"['attic', 'box', 'trap', 'oven']"
coffee pods,playroom,"['freezer', 'jar', 'cellar', 'basement']"
coffeemachine,kitchen,"['pantry room', 'lobby', 'childs room', 'jar']"
coffeemaker,bathroom,"['freezer', 'freezer', 'bar', 'room']"
coffeetable,living room,"['kitchen', 'corridor', 'utility room', 'house']"
colored wood blocks,bathroom,"['attic', 'family room', 'cellar', 'box']"
condiment,home office,"['dumpster', 'room', 'trap', 'family room']"
countertop,bedroom,"['oven', 'corridor', 'utility room', 'oven']"
cracker box,bathroom,"['room', 'can', 'trap', 'attic']"
crayon,exercise room,"['freezer', 'room', 'trap', 'house']"
creditcard,bedroom,"['pantry room', 'lobby', 'bathroom', 'house']"
cube storage box,lobby,"['cellar', 'bar', 'freezer', 'basement']"
cup,kitchen,"['trap', 'can', 'trap', 'family room']"
curtain,bedroom,"['house', 'pantry room', 'bar', 'dining room']"
cushion,television room,"['house', 'attic', 'room', 'room']"
desk,living room,"['childs room', 'house', 'attic', 'jar']"
desk caddy,childs room,"['attic', 'family room', 'box', 'jar']"
desklamp,living room,"['jar', 'playroom', 'dining room', 'utility room']"
desktop,bedroom,"['cellar', 'dumpster', 'corridor', 'bar']"
diaper pack,home office,"['attic', 'can', 'trap', 'can']"
dietary supplement,storage room,"['cellar', 'jar', 'cellar', 'basement']"
diningtable,kitchen,"['pantry room', 'corridor', 'closet', 'freezer']"
dish drainer,exercise room,"['cellar', 'freezer', 'trap', 'family room']"
dishsponge,bathroom,"['house', 'lobby', 'house', 'box']"
dishtowel,lobby,"['cellar', 'oven', 'dumpster', 'cellar']"
dishwasher,kitchen,"['playroom', 'childs room', 'playroom', 'dining room']"
dispensing closure,television room,"['cellar', 'basement', 'bar', 'dumpster']"
dog bowl,garage,"['oven', 'freezer', 'attic', 'trap']"
dog chew toy,corridor,"['attic', 'basement', 'room', 'attic']"
dogbed,bedroom,"['storage room', 'exercise room', 'pantry room', 'garage']"
dollhouse toy,bathroom,"['jar', 'family room', 'freezer', 'jar']"
donut,television room,"['can', 'cellar', 'jar', 'dumpster']"
drawer,kitchen,"['room', 'basement', 'trap', 'storage room']"
dresser,bedroom,"['house', 'oven', 'utility room', 'utility room']"
drink,can,"['house', 'home office', 'family room', 'closet']"
drink coaster,playroom,"['house', 'jar', 'room', 'cellar']"
dryer,basement,"['television room', 'playroom', 'closet', 'living room']"
duct tape,dining room,"['room', 'room', 'trap', 'dumpster']"
dumbbell,bedroom,"['basement', 'freezer', 'oven', 'attic']"
dumbbell rack,living room,"['can', 'room', 'can', 'room']"
dustpan and brush,television room,"['can', 'can', 'freezer', 'house']"
dutch oven,kitchen,"['box', 'freezer', 'family room', 'house']"
easter basket,bedroom,"['jar', 'attic', 'family room', 'dumpster']"
egg,kitchen,"['television room', 'oven', 'oven', 'house']"
electric heater,pantry room,"['oven', 'family room', 'room', 'trap']"
electric toothbrush,closet,"['house', 'cellar', 'bar', 'freezer']"
electronic adapter,kitchen,"['dumpster', 'oven', 'trap', 'can']"
electronic cable,living room,"['oven', 'can', 'bar', 'can']"
face moisturizer,television room,"['freezer', 'oven', 'family room', 'can']"
faucet,bathroom,"['dining room', 'bar', 'attic', 'room']"
file sorter,living room,"['house', 'house', 'house', 'freezer']"
fingerpaint,kitchen,"['house', 'attic', 'freezer', 'trap']"
fitness tracker wristband,utility room,"['basement', 'house', 'can', 'basement']"
flashlight,childs room,"['house', 'jar', 'dumpster', 'dumpster']"
flat screwdriver,exercise room,"['trap', 'basement', 'oven', 'box']"
floor,living room,"['television room', 'exercise room', 'basement', 'dumpster']"
floorlamp,living room,"['attic', 'lobby', 'trap', 'box']"
foam brick,television room,"['bar', 'can', 'can', 'trap']"
folder,corridor,"['family room', 'box', 'basement', 'dumpster']"
fondant,playroom,"['family room', 'trap', 'box', 'basement']"
footstool,bathroom,"['storage room', 'cellar', 'basement', 'dining room']"
fork,kitchen,"['basement', 'box', 'house', 'house']"
fridge,kitchen,"['bathroom', 'basement', 'home office', 'basement']"
fruit snack,utility room,"['family room', 'can', 'cellar', 'jar']"
furnace,basement,"['box', 'jar', 'bathroom', 'living room']"
garbage,dumpster,"['can', 'living room', 'box', 'basement']"
garbagebag,kitchen,"['dining room', 'dumpster', 'attic', 'utility room']"
