question,full_answer,final_answer,correct_answer
"Here are a few examples:
Object: teddy bear 
<end_of_turn>
Location: childs room
Object: Teddy bear 
<end_of_turn>
Location: childs room
Object: pillow 
<end_of_turn>
Location: bedroom
Object: spatula 
<end_of_turn>
Location: kitchen
Object: Treadmill 
<end_of_turn>
Location: exercise room
Object: pillow 
<end_of_turn>
Location: bedroom
Object: Building blocks 
<end_of_turn>
Location: playroom
Object: refrigerator 
<end_of_turn>
Location: kitchen

Object: action figure
Locations: freezer, childs room, bar, dumpster, basement
Your Choice:","childs room 
<end_of_turn>",childs room,childs room
"Here are a few examples:
Object: teddy bear 
<end_of_turn>
Location: childs room
Object: Teddy bear 
<end_of_turn>
Location: childs room
Object: pillow 
<end_of_turn>
Location: bedroom
Object: spatula 
<end_of_turn>
Location: kitchen
Object: Treadmill 
<end_of_turn>
Location: exercise room
Object: pillow 
<end_of_turn>
Location: bedroom
Object: Building blocks 
<end_of_turn>
Location: playroom
Object: refrigerator 
<end_of_turn>
Location: kitchen

Object: adjustable wrench
Locations: room, house, box, childs room, bar
Your Choice:","box 
<end_of_turn>",box,childs room
"Here are a few examples:
Object: teddy bear 
<end_of_turn>
Location: childs room
Object: Teddy bear 
<end_of_turn>
Location: childs room
Object: pillow 
<end_of_turn>
Location: bedroom
Object: spatula 
<end_of_turn>
Location: kitchen
Object: Treadmill 
<end_of_turn>
Location: exercise room
Object: pillow 
<end_of_turn>
Location: bedroom
Object: Building blocks 
<end_of_turn>
Location: playroom
Object: refrigerator 
<end_of_turn>
Location: kitchen

Object: alarmclock
Locations: television room, trap, cellar, bedroom, freezer
Your Choice:","bedroom 
<end_of_turn>",bedroom,bedroom
"Here are a few examples:
Object: teddy bear 
<end_of_turn>
Location: childs room
Object: Teddy bear 
<end_of_turn>
Location: childs room
Object: pillow 
<end_of_turn>
Location: bedroom
Object: spatula 
<end_of_turn>
Location: kitchen
Object: Treadmill 
<end_of_turn>
Location: exercise room
Object: pillow 
<end_of_turn>
Location: bedroom
Object: Building blocks 
<end_of_turn>
Location: playroom
Object: refrigerator 
<end_of_turn>
Location: kitchen

Object: aluminumfoil
Locations: attic, living room, basement, television room, kitchen
Your Choice:","kitchen 
<end_of_turn>",kitchen,kitchen
"Here are a few examples:
Object: teddy bear 
<end_of_turn>
Location: childs room
Object: Teddy bear 
<end_of_turn>
Location: childs room
Object: pillow 
<end_of_turn>
Location: bedroom
Object: spatula 
<end_of_turn>
Location: kitchen
Object: Treadmill 
<end_of_turn>
Location: exercise room
Object: pillow 
<end_of_turn>
Location: bedroom
Object: Building blocks 
<end_of_turn>
Location: playroom
Object: refrigerator 
<end_of_turn>
Location: kitchen

Object: android figure
Locations: basement, oven, dumpster, exercise room, jar
Your Choice:","jar 
<end_of_turn>",jar,exercise room
"Here are a few examples:
Object: teddy bear 
<end_of_turn>
Location: childs room
Object: Teddy bear 
<end_of_turn>
Location: childs room
Object: pillow 
<end_of_turn>
Location: bedroom
Object: spatula 
<end_of_turn>
Location: kitchen
Object: Treadmill 
<end_of_turn>
Location: exercise room
Object: pillow 
<end_of_turn>
Location: bedroom
Object: Building blocks 
<end_of_turn>
Location: playroom
Object: refrigerator 
<end_of_turn>
Location: kitchen

Object: anti slip tape
Locations: bedroom, oven, oven, can, can
Your Choice:","bedroom 
<end_of_turn>",bedroom,bedroom
"Here are a few examples:
Object: teddy bear 
<end_of_turn>
Location: childs room
Object: Teddy bear 
<end_of_turn>
Location: childs room
Object: pillow 
<end_of_turn>
Location: bedroom
Object: spatula 
<end_of_turn>
Location: kitchen
Object: Treadmill 
<end_of_turn>
Location: exercise room
Object: pillow 
<end_of_turn>
Location: bedroom
Object: Building blocks 
<end_of_turn>
Location: playroom
Object: refrigerator 
<end_of_turn>
Location: kitchen

Object: antidepressant
Locations: bar, family room, jar, room, playroom
Your Choice:","jar 
<end_of_turn>",jar,playroom
"Here are a few examples:
Object: teddy bear 
<end_of_turn>
Location: childs room
Object: Teddy bear 
<end_of_turn>
Location: childs room
Object: pillow 
<end_of_turn>
Location: bedroom
Object: spatula 
<end_of_turn>
Location: kitchen
Object: Treadmill 
<end_of_turn>
Location: exercise room
Object: pillow 
<end_of_turn>
Location: bedroom
Object: Building blocks 
<end_of_turn>
Location: playroom
Object: refrigerator 
<end_of_turn>
Location: kitchen

Object: apple
Locations: room, family room, oven, kitchen, oven
Your Choice:","kitchen 
<end_of_turn>",kitchen,kitchen
"Here are a few examples:
Object: teddy bear 
<end_of_turn>
Location: childs room
Object: Teddy bear 
<end_of_turn>
Location: childs room
Object: pillow 
<end_of_turn>
Location: bedroom
Object: spatula 
<end_of_turn>
Location: kitchen
Object: Treadmill 
<end_of_turn>
Location: exercise room
Object: pillow 
<end_of_turn>
Location: bedroom
Object: Building blocks 
<end_of_turn>
Location: playroom
Object: refrigerator 
<end_of_turn>
Location: kitchen

Object: armchair
Locations: living room, freezer, freezer, lobby, can
Your Choice:","living room 
<end_of_turn>",living room,living room
"Here are a few examples:
Object: teddy bear 
<end_of_turn>
Location: childs room
Object: Teddy bear 
<end_of_turn>
Location: childs room
Object: pillow 
<end_of_turn>
Location: bedroom
Object: spatula 
<end_of_turn>
Location: kitchen
Object: Treadmill 
<end_of_turn>
Location: exercise room
Object: pillow 
<end_of_turn>
Location: bedroom
Object: Building blocks 
<end_of_turn>
Location: playroom
Object: refrigerator 
<end_of_turn>
Location: kitchen

Object: backpack
Locations: oven, trap, family room, box, storage room
Your Choice:","storage room 
<end_of_turn>",storage room,storage room
