object,correct_location,predicted_location,location_choices,correct_prediction
action figure,childs room,none,"['dumpster', 'freezer', 'childs room', 'bar', 'basement']",False
adjustable wrench,childs room,box,"['childs room', 'box', 'room', 'bar', 'house']",False
alarmclock,bedroom,bedroom,"['trap', 'freezer', 'cellar', 'television room', 'bedroom']",True
aluminumfoil,kitchen,kitchen,"['attic', 'television room', 'basement', 'kitchen', 'living room']",True
android figure,exercise room,jar,"['basement', 'oven', 'exercise room', 'dumpster', 'jar']",False
anti slip tape,bedroom,bedroom,"['can', 'oven', 'oven', 'bedroom', 'can']",True
antidepressant,playroom,room,"['family room', 'bar', 'playroom', 'room', 'jar']",False
apple,kitchen,kitchen,"['oven', 'room', 'kitchen', 'family room', 'oven']",True
armchair,living room,living room,"['freezer', 'living room', 'lobby', 'freezer', 'can']",True
backpack,storage room,storage room,"['storage room', 'trap', 'box', 'oven', 'family room']",True
balancing cactus,dining room,dining room,"['house', 'dumpster', 'bar', 'dining room', 'freezer']",True
banana,pantry room,pantry room,"['family room', 'bar', 'attic', 'pantry room', 'dumpster']",True
baseball,bedroom,box,"['freezer', 'box', 'freezer', 'room', 'bedroom']",False
baseballbat,bedroom,bedroom,"['box', 'jar', 'house', 'bathroom', 'bedroom']",True
basketball,bedroom,bedroom,"['attic', 'freezer', 'trap', 'bedroom', 'jar']",True
bat,attic,attic,"['family room', 'home office', 'freezer', 'box', 'attic']",True
bath sheet,dining room,room,"['cellar', 'dumpster', 'room', 'dining room', 'jar']",False
bathtub,bathroom,bathroom,"['exercise room', 'family room', 'attic', 'living room', 'bathroom']",True
bathtubbasin,bathroom,bathroom,"['can', 'room', 'living room', 'bathroom', 'garage']",True
batter,box,garage,"['dining room', 'dumpster', 'childs room', 'garage', 'box']",False
battery,storage room,storage room,"['storage room', 'family room', 'house', 'can', 'oven']",True
beard color gel,playroom,bar,"['trap', 'bar', 'playroom', 'trap', 'oven']",False
beauty pack,utility room,family room,"['can', 'jar', 'oven', 'family room', 'utility room']",False
bed,bedroom,bedroom,"['bedroom', 'childs room', 'bathroom', 'living room', 'home office']",True
bleach cleanser,kitchen,kitchen,"['attic', 'oven', 'kitchen', 'room', 'family room']",True
blender jar,dining room,jar,"['jar', 'attic', 'bar', 'family room', 'dining room']",False
blind,kitchen,playroom,"['basement', 'attic', 'trap', 'playroom', 'kitchen']",False
board game,lobby,lobby,"['dumpster', 'freezer', 'lobby', 'trap', 'jar']",True
book,bedroom,bedroom,"['bedroom', 'attic', 'house', 'oven', 'box']",True
bookend,playroom,family room,"['attic', 'family room', 'bar', 'playroom', 'freezer']",False
boot,bedroom,closet,"['closet', 'bedroom', 'corridor', 'house', 'kitchen']",False
bottle,kitchen,kitchen,"['childs room', 'closet', 'dumpster', 'house', 'kitchen']",True
