object,correct_location,predicted_location,location_choices,correct_prediction
action figure,childs room,basement,"['bar', 'basement', 'freezer', 'childs room', 'dumpster']",False
adjustable wrench,childs room,box,"['childs room', 'room', 'box', 'bar', 'house']",False
alarmclock,bedroom,bedroom,"['bedroom', 'freezer', 'trap', 'television room', 'cellar']",True
aluminumfoil,kitchen,kitchen,"['basement', 'living room', 'attic', 'television room', 'kitchen']",True
android figure,exercise room,basement,"['dumpster', 'jar', 'basement', 'oven', 'exercise room']",False
anti slip tape,bedroom,bedroom,"['oven', 'oven', 'can', 'bedroom', 'can']",True
antidepressant,playroom,room,"['jar', 'playroom', 'family room', 'bar', 'room']",False
apple,kitchen,kitchen,"['family room', 'oven', 'room', 'oven', 'kitchen']",True
armchair,living room,living room,"['living room', 'freezer', 'lobby', 'freezer', 'can']",True
backpack,storage room,storage room,"['oven', 'family room', 'box', 'storage room', 'trap']",True
balancing cactus,dining room,dining room,"['bar', 'dumpster', 'freezer', 'dining room', 'house']",True
banana,pantry room,pantry room,"['bar', 'pantry room', 'dumpster', 'attic', 'family room']",True
baseball,bedroom,box,"['freezer', 'box', 'room', 'bedroom', 'freezer']",False
baseballbat,bedroom,box,"['bathroom', 'jar', 'house', 'box', 'bedroom']",False
basketball,bedroom,attic,"['freezer', 'trap', 'attic', 'bedroom', 'jar']",False
bat,attic,box,"['home office', 'freezer', 'family room', 'attic', 'box']",False
bath sheet,dining room,room,"['jar', 'cellar', 'dumpster', 'dining room', 'room']",False
bathtub,bathroom,bathroom,"['attic', 'exercise room', 'bathroom', 'living room', 'family room']",True
bathtubbasin,bathroom,bathroom,"['can', 'room', 'living room', 'garage', 'bathroom']",True
batter,box,dining room,"['childs room', 'dumpster', 'dining room', 'garage', 'box']",False
battery,storage room,storage room,"['can', 'oven', 'house', 'family room', 'storage room']",True
beard color gel,playroom,bar,"['bar', 'trap', 'oven', 'trap', 'playroom']",False
beauty pack,utility room,utility room,"['can', 'family room', 'oven', 'jar', 'utility room']",True
bed,bedroom,bedroom,"['living room', 'bathroom', 'bedroom', 'home office', 'childs room']",True
bleach cleanser,kitchen,kitchen,"['family room', 'oven', 'kitchen', 'room', 'attic']",True
blender jar,dining room,bar,"['bar', 'jar', 'attic', 'dining room', 'family room']",False
blind,kitchen,attic,"['playroom', 'kitchen', 'attic', 'trap', 'basement']",False
board game,lobby,lobby,"['freezer', 'jar', 'trap', 'lobby', 'dumpster']",True
book,bedroom,bedroom,"['house', 'attic', 'box', 'bedroom', 'oven']",True
bookend,playroom,family room,"['freezer', 'attic', 'family room', 'bar', 'playroom']",False
boot,bedroom,closet,"['bedroom', 'house', 'closet', 'kitchen', 'corridor']",False
bottle,kitchen,kitchen,"['kitchen', 'house', 'closet', 'dumpster', 'childs room']",True
bowl,kitchen,kitchen,"['kitchen', 'house', 'can', 'box', 'bar']",True
box,living room,living room,"['oven', 'living room', 'trap', 'bar', 'house']",True
bread,kitchen,kitchen,"['childs room', 'utility room', 'corridor', 'dumpster', 'kitchen']",True
bundt pan,corridor,room,"['trap', 'corridor', 'attic', 'room', 'jar']",False
butter dish,dining room,dining room,"['freezer', 'dining room', 'bar', 'attic', 'trap']",True
butterknife,kitchen,kitchen,"['bedroom', 'bathroom', 'family room', 'kitchen', 'childs room']",True
cabinet,kitchen,kitchen,"['pantry room', 'childs room', 'closet', 'kitchen', 'trap']",True
cake mix,exercise room,room,"['can', 'room', 'exercise room', 'trap', 'can']",False
cake pan,storage room,storage room,"['box', 'freezer', 'storage room', 'jar', 'bar']",True
camera,bedroom,family room,"['bar', 'bedroom', 'family room', 'house', 'bar']",False
can opener,garage,garage,"['dumpster', 'trap', 'cellar', 'garage', 'dumpster']",True
candle,bathroom,bedroom,"['bedroom', 'bedroom', 'bar', 'childs room', 'bathroom']",False
candle holder,bathroom,family room,"['family room', 'bathroom', 'can', 'attic', 'cellar']",False
candy,bedroom,box,"['oven', 'cellar', 'box', 'bedroom', 'box']",False
candy bar,playroom,playroom,"['playroom', 'cellar', 'basement', 'cellar', 'oven']",True
canister,dining room,cellar,"['cellar', 'trap', 'dumpster', 'jar', 'dining room']",False
card game,dining room,dining room,"['dumpster', 'dining room', 'bar', 'jar', 'basement']",True
carrying case,childs room,box,"['freezer', 'oven', 'box', 'childs room', 'trap']",False
casserole dish,home office,oven,"['oven', 'home office', 'box', 'basement', 'trap']",False
cd,bedroom,box,"['kitchen', 'box', 'bedroom', 'house', 'lobby']",False
cellphone,living room,room,"['bathroom', 'exercise room', 'trap', 'room', 'living room']",False
cereal,exercise room,jar,"['exercise room', 'cellar', 'bar', 'basement', 'jar']",False
chain,playroom,cellar,"['playroom', 'family room', 'bar', 'bar', 'cellar']",False
chair,bedroom,home office,"['home office', 'dining room', 'exercise room', 'bedroom', 'cellar']",False
chocolate,exercise room,freezer,"['exercise room', 'family room', 'trap', 'freezer', 'can']",False
chocolate box,exercise room,cellar,"['exercise room', 'attic', 'cellar', 'trap', 'jar']",False
chocolate milk pods,television room,freezer,"['television room', 'freezer', 'attic', 'freezer', 'room']",False
chocolate powder,television room,bar,"['television room', 'bar', 'house', 'freezer', 'dumpster']",False
chopping board,dining room,dining room,"['freezer', 'can', 'dining room', 'basement', 'room']",True
clamp,childs room,attic,"['trap', 'attic', 'jar', 'attic', 'childs room']",False
clay,bathroom,bathroom,"['bathroom', 'bar', 'freezer', 'family room', 'freezer']",True
clock,home office,home office,"['room', 'trap', 'dumpster', 'home office', 'house']",True
cloth,bathroom,bathroom,"['dumpster', 'freezer', 'box', 'family room', 'bathroom']",True
coffee beans,closet,box,"['oven', 'attic', 'closet', 'trap', 'box']",False
coffee pods,playroom,jar,"['cellar', 'jar', 'playroom', 'freezer', 'basement']",False
coffeemachine,kitchen,kitchen,"['pantry room', 'kitchen', 'jar', 'lobby', 'childs room']",True
coffeemaker,bathroom,bar,"['bathroom', 'room', 'freezer', 'freezer', 'bar']",False
coffeetable,living room,living room,"['utility room', 'corridor', 'kitchen', 'house', 'living room']",True
colored wood blocks,bathroom,family room,"['family room', 'attic', 'box', 'cellar', 'bathroom']",False
condiment,home office,room,"['room', 'dumpster', 'trap', 'home office', 'family room']",False
countertop,bedroom,utility room,"['corridor', 'oven', 'oven', 'utility room', 'bedroom']",False
cracker box,bathroom,room,"['bathroom', 'room', 'attic', 'trap', 'can']",False
crayon,exercise room,room,"['exercise room', 'room', 'trap', 'house', 'freezer']",False
creditcard,bedroom,bedroom,"['pantry room', 'house', 'bedroom', 'bathroom', 'lobby']",True
cube storage box,lobby,basement,"['cellar', 'freezer', 'bar', 'basement', 'lobby']",False
cup,kitchen,kitchen,"['trap', 'family room', 'kitchen', 'can', 'trap']",True
