object,correct_location,predicted_location,location_choices,correct_prediction
action figure,childs room,childs room,"['basement', 'bar', 'freezer', 'childs room', 'dumpster']",True
adjustable wrench,childs room,box,"['box', 'house', 'childs room', 'room', 'bar']",False
alarmclock,bedroom,bedroom,"['freezer', 'television room', 'bedroom', 'cellar', 'trap']",True
aluminumfoil,kitchen,kitchen,"['television room', 'attic', 'kitchen', 'living room', 'basement']",True
android figure,exercise room,basement,"['jar', 'dumpster', 'oven', 'basement', 'exercise room']",False
anti slip tape,bedroom,can,"['oven', 'can', 'bedroom', 'oven', 'can']",False
antidepressant,playroom,room,"['room', 'playroom', 'jar', 'family room', 'bar']",False
apple,kitchen,kitchen,"['room', 'family room', 'kitchen', 'oven', 'oven']",True
armchair,living room,living room,"['lobby', 'freezer', 'can', 'freezer', 'living room']",True
backpack,storage room,storage room,"['box', 'oven', 'trap', 'storage room', 'family room']",True
balancing cactus,dining room,dining room,"['bar', 'dumpster', 'house', 'dining room', 'freezer']",True
banana,pantry room,pantry room,"['attic', 'family room', 'pantry room', 'bar', 'dumpster']",True
baseball,bedroom,box,"['freezer', 'freezer', 'box', 'room', 'bedroom']",False
baseballbat,bedroom,box,"['bedroom', 'jar', 'house', 'bathroom', 'box']",False
basketball,bedroom,attic,"['bedroom', 'freezer', 'trap', 'attic', 'jar']",False
bat,attic,attic,"['family room', 'freezer', 'box', 'home office', 'attic']",True
bath sheet,dining room,room,"['dumpster', 'dining room', 'jar', 'room', 'cellar']",False
bathtub,bathroom,bathroom,"['living room', 'family room', 'bathroom', 'exercise room', 'attic']",True
bathtubbasin,bathroom,bathroom,"['bathroom', 'can', 'garage', 'room', 'living room']",True
batter,box,box,"['box', 'dumpster', 'childs room', 'dining room', 'garage']",True
battery,storage room,storage room,"['can', 'house', 'family room', 'storage room', 'oven']",True
beard color gel,playroom,bar,"['oven', 'trap', 'playroom', 'bar', 'trap']",False
beauty pack,utility room,utility room,"['can', 'family room', 'utility room', 'oven', 'jar']",True
bed,bedroom,bedroom,"['childs room', 'living room', 'bedroom', 'bathroom', 'home office']",True
bleach cleanser,kitchen,kitchen,"['kitchen', 'family room', 'attic', 'room', 'oven']",True
blender jar,dining room,bar,"['bar', 'family room', 'dining room', 'jar', 'attic']",False
blind,kitchen,attic,"['kitchen', 'basement', 'attic', 'playroom', 'trap']",False
board game,lobby,lobby,"['trap', 'lobby', 'jar', 'freezer', 'dumpster']",True
book,bedroom,bedroom,"['oven', 'box', 'bedroom', 'house', 'attic']",True
bookend,playroom,family room,"['playroom', 'attic', 'bar', 'freezer', 'family room']",False
boot,bedroom,closet,"['closet', 'kitchen', 'bedroom', 'corridor', 'house']",False
bottle,kitchen,kitchen,"['closet', 'childs room', 'kitchen', 'dumpster', 'house']",True
bowl,kitchen,kitchen,"['bar', 'kitchen', 'box', 'can', 'house']",True
box,living room,living room,"['oven', 'bar', 'living room', 'trap', 'house']",True
bread,kitchen,kitchen,"['utility room', 'corridor', 'childs room', 'dumpster', 'kitchen']",True
bundt pan,corridor,attic,"['jar', 'trap', 'corridor', 'attic', 'room']",False
butter dish,dining room,dining room,"['freezer', 'attic', 'dining room', 'trap', 'bar']",True
butterknife,kitchen,kitchen,"['kitchen', 'childs room', 'bathroom', 'bedroom', 'family room']",True
cabinet,kitchen,kitchen,"['closet', 'kitchen', 'pantry room', 'trap', 'childs room']",True
cake mix,exercise room,can,"['room', 'trap', 'can', 'can', 'exercise room']",False
cake pan,storage room,storage room,"['freezer', 'jar', 'bar', 'storage room', 'box']",True
camera,bedroom,family room,"['house', 'bar', 'bedroom', 'family room', 'bar']",False
can opener,garage,cellar,"['dumpster', 'dumpster', 'cellar', 'garage', 'trap']",False
candle,bathroom,bedroom,"['bedroom', 'bar', 'bathroom', 'bedroom', 'childs room']",False
candle holder,bathroom,family room,"['attic', 'cellar', 'can', 'family room', 'bathroom']",False
candy,bedroom,box,"['cellar', 'oven', 'box', 'bedroom', 'box']",False
candy bar,playroom,cellar,"['cellar', 'oven', 'playroom', 'basement', 'cellar']",False
canister,dining room,cellar,"['cellar', 'dining room', 'jar', 'trap', 'dumpster']",False
card game,dining room,dining room,"['bar', 'dining room', 'basement', 'dumpster', 'jar']",True
