object,correct_location,predicted_location,location_choices,correct_prediction
action figure,childs room,none,"['freezer', 'bar', 'dumpster', 'basement', 'childs room']",False
adjustable wrench,childs room,box,"['childs room', 'box', 'house', 'room', 'bar']",False
alarmclock,bedroom,bedroom,"['cellar', 'trap', 'freezer', 'television room', 'bedroom']",True
aluminumfoil,kitchen,kitchen,"['television room', 'attic', 'kitchen', 'living room', 'basement']",True
android figure,exercise room,basement,"['oven', 'jar', 'exercise room', 'dumpster', 'basement']",False
anti slip tape,bedroom,bedroom,"['oven', 'oven', 'can', 'can', 'bedroom']",True
antidepressant,playroom,jar,"['jar', 'family room', 'room', 'playroom', 'bar']",False
apple,kitchen,kitchen,"['oven', 'room', 'kitchen', 'oven', 'family room']",True
armchair,living room,living room,"['freezer', 'can', 'living room', 'freezer', 'lobby']",True
backpack,storage room,storage room,"['family room', 'storage room', 'oven', 'box', 'trap']",True
balancing cactus,dining room,bar,"['dining room', 'freezer', 'bar', 'dumpster', 'house']",False
banana,pantry room,pantry room,"['dumpster', 'family room', 'pantry room', 'attic', 'bar']",True
baseball,bedroom,box,"['freezer', 'box', 'freezer', 'bedroom', 'room']",False
baseballbat,bedroom,bedroom,"['house', 'box', 'jar', 'bedroom', 'bathroom']",True
basketball,bedroom,bedroom,"['freezer', 'attic', 'trap', 'jar', 'bedroom']",True
bat,attic,attic,"['family room', 'attic', 'home office', 'box', 'freezer']",True
bath sheet,dining room,room,"['cellar', 'room', 'jar', 'dining room', 'dumpster']",False
bathtub,bathroom,bathroom,"['family room', 'bathroom', 'living room', 'exercise room', 'attic']",True
bathtubbasin,bathroom,bathroom,"['bathroom', 'room', 'can', 'garage', 'living room']",True
batter,box,dining room,"['dining room', 'childs room', 'garage', 'box', 'dumpster']",False
battery,storage room,storage room,"['house', 'storage room', 'can', 'oven', 'family room']",True
beard color gel,playroom,bar,"['bar', 'oven', 'trap', 'trap', 'playroom']",False
beauty pack,utility room,family room,"['jar', 'can', 'utility room', 'oven', 'family room']",False
bed,bedroom,bedroom,"['home office', 'living room', 'bedroom', 'bathroom', 'childs room']",True
bleach cleanser,kitchen,kitchen,"['room', 'oven', 'attic', 'family room', 'kitchen']",True
blender jar,dining room,dining room,"['jar', 'dining room', 'attic', 'bar', 'family room']",True
blind,kitchen,kitchen,"['basement', 'kitchen', 'playroom', 'attic', 'trap']",True
board game,lobby,lobby,"['dumpster', 'jar', 'lobby', 'freezer', 'trap']",True
