object,correct_location,predicted_location,location_choices,correct_prediction
action figure,childs room,none,"['bar', 'dumpster', 'freezer', 'basement', 'childs room']",False
adjustable wrench,childs room,box,"['house', 'box', 'room', 'childs room', 'bar']",False
alarmclock,bedroom,bedroom,"['trap', 'freezer', 'cellar', 'bedroom', 'television room']",True
aluminumfoil,kitchen,kitchen,"['kitchen', 'attic', 'living room', 'television room', 'basement']",True
android figure,exercise room,jar,"['basement', 'exercise room', 'jar', 'oven', 'dumpster']",False
anti slip tape,bedroom,bedroom,"['oven', 'can', 'can', 'bedroom', 'oven']",True
antidepressant,playroom,room,"['bar', 'jar', 'room', 'family room', 'playroom']",False
apple,kitchen,kitchen,"['family room', 'oven', 'oven', 'room', 'kitchen']",True
armchair,living room,living room,"['can', 'living room', 'lobby', 'freezer', 'freezer']",True
backpack,storage room,family room,"['family room', 'trap', 'storage room', 'oven', 'box']",False
balancing cactus,dining room,dining room,"['dumpster', 'bar', 'freezer', 'dining room', 'house']",True
banana,pantry room,pantry room,"['pantry room', 'attic', 'bar', 'family room', 'dumpster']",True
baseball,bedroom,box,"['box', 'freezer', 'bedroom', 'room', 'freezer']",False
baseballbat,bedroom,bedroom,"['jar', 'box', 'bathroom', 'house', 'bedroom']",True
basketball,bedroom,bedroom,"['freezer', 'attic', 'bedroom', 'trap', 'jar']",True
bat,attic,box,"['home office', 'freezer', 'box', 'attic', 'family room']",False
bath sheet,dining room,room,"['cellar', 'jar', 'room', 'dining room', 'dumpster']",False
bathtub,bathroom,bathroom,"['exercise room', 'family room', 'bathroom', 'living room', 'attic']",True
bathtubbasin,bathroom,bathroom,"['can', 'garage', 'living room', 'room', 'bathroom']",True
batter,box,dining room,"['dining room', 'garage', 'box', 'childs room', 'dumpster']",False
battery,storage room,storage room,"['family room', 'can', 'house', 'storage room', 'oven']",True
beard color gel,playroom,bar,"['trap', 'playroom', 'bar', 'oven', 'trap']",False
beauty pack,utility room,jar,"['oven', 'can', 'family room', 'jar', 'utility room']",False
bed,bedroom,bedroom,"['living room', 'bathroom', 'childs room', 'bedroom', 'home office']",True
bleach cleanser,kitchen,kitchen,"['oven', 'room', 'kitchen', 'family room', 'attic']",True
blender jar,dining room,jar,"['jar', 'dining room', 'family room', 'attic', 'bar']",False
blind,kitchen,playroom,"['kitchen', 'basement', 'attic', 'playroom', 'trap']",False
board game,lobby,lobby,"['freezer', 'lobby', 'dumpster', 'trap', 'jar']",True
book,bedroom,bedroom,"['attic', 'box', 'house', 'bedroom', 'oven']",True
bookend,playroom,family room,"['attic', 'bar', 'playroom', 'freezer', 'family room']",False
boot,bedroom,closet,"['closet', 'corridor', 'bedroom', 'kitchen', 'house']",False
bottle,kitchen,kitchen,"['kitchen', 'closet', 'house', 'dumpster', 'childs room']",True
bowl,kitchen,kitchen,"['can', 'box', 'bar', 'house', 'kitchen']",True
box,living room,living room,"['bar', 'trap', 'oven', 'house', 'living room']",True
bread,kitchen,kitchen,"['childs room', 'dumpster', 'corridor', 'utility room', 'kitchen']",True
bundt pan,corridor,room,"['jar', 'trap', 'attic', 'corridor', 'room']",False
butter dish,dining room,dining room,"['trap', 'dining room', 'attic', 'bar', 'freezer']",True
butterknife,kitchen,kitchen,"['family room', 'kitchen', 'bathroom', 'childs room', 'bedroom']",True
cabinet,kitchen,kitchen,"['trap', 'kitchen', 'closet', 'childs room', 'pantry room']",True
cake mix,exercise room,room,"['trap', 'can', 'can', 'room', 'exercise room']",False
cake pan,storage room,box,"['freezer', 'box', 'storage room', 'bar', 'jar']",False
