object,correct_location,predicted_location,location_choices,correct_prediction
action figure,childs room,bar,"['childs room', 'freezer', 'basement', 'bar', 'dumpster']",False
adjustable wrench,childs room,box,"['bar', 'box', 'house', 'room', 'childs room']",False
alarmclock,bedroom,bedroom,"['freezer', 'television room', 'trap', 'bedroom', 'cellar']",True
aluminumfoil,kitchen,kitchen,"['kitchen', 'basement', 'living room', 'attic', 'television room']",True
android figure,exercise room,exercise room,"['exercise room', 'basement', 'jar', 'dumpster', 'oven']",True
anti slip tape,bedroom,bedroom,"['oven', 'can', 'bedroom', 'oven', 'can']",True
antidepressant,playroom,room,"['bar', 'playroom', 'room', 'jar', 'family room']",False
apple,kitchen,kitchen,"['oven', 'room', 'family room', 'kitchen', 'oven']",True
armchair,living room,living room,"['freezer', 'freezer', 'lobby', 'can', 'living room']",True
backpack,storage room,family room,"['oven', 'family room', 'storage room', 'box', 'trap']",False
balancing cactus,dining room,dining room,"['house', 'freezer', 'dumpster', 'bar', 'dining room']",True
banana,pantry room,pantry room,"['pantry room', 'attic', 'dumpster', 'family room', 'bar']",True
baseball,bedroom,box,"['freezer', 'box', 'bedroom', 'freezer', 'room']",False
baseballbat,bedroom,house,"['house', 'box', 'bedroom', 'jar', 'bathroom']",False
basketball,bedroom,bedroom,"['jar', 'trap', 'attic', 'freezer', 'bedroom']",True
bat,attic,attic,"['attic', 'family room', 'box', 'home office', 'freezer']",True
bath sheet,dining room,room,"['room', 'dining room', 'jar', 'dumpster', 'cellar']",False
bathtub,bathroom,bathroom,"['living room', 'family room', 'attic', 'bathroom', 'exercise room']",True
bathtubbasin,bathroom,bathroom,"['room', 'garage', 'can', 'bathroom', 'living room']",True
batter,box,box,"['dining room', 'box', 'garage', 'childs room', 'dumpster']",True
battery,storage room,storage room,"['storage room', 'oven', 'can', 'family room', 'house']",True
beard color gel,playroom,bar,"['oven', 'playroom', 'bar', 'trap', 'trap']",False
beauty pack,utility room,jar,"['oven', 'jar', 'family room', 'utility room', 'can']",False
bed,bedroom,bedroom,"['home office', 'bedroom', 'living room', 'bathroom', 'childs room']",True
bleach cleanser,kitchen,kitchen,"['kitchen', 'oven', 'room', 'attic', 'family room']",True
blender jar,dining room,bar,"['family room', 'attic', 'bar', 'jar', 'dining room']",False
blind,kitchen,playroom,"['playroom', 'trap', 'kitchen', 'attic', 'basement']",False
board game,lobby,lobby,"['dumpster', 'jar', 'lobby', 'trap', 'freezer']",True
book,bedroom,bedroom,"['oven', 'box', 'house', 'attic', 'bedroom']",True
bookend,playroom,family room,"['bar', 'playroom', 'attic', 'family room', 'freezer']",False
boot,bedroom,closet,"['kitchen', 'bedroom', 'closet', 'corridor', 'house']",False
bottle,kitchen,kitchen,"['dumpster', 'kitchen', 'childs room', 'closet', 'house']",True
bowl,kitchen,kitchen,"['can', 'box', 'bar', 'kitchen', 'house']",True
box,living room,living room,"['house', 'trap', 'bar', 'living room', 'oven']",True
bread,kitchen,kitchen,"['utility room', 'dumpster', 'kitchen', 'corridor', 'childs room']",True
bundt pan,corridor,room,"['jar', 'trap', 'attic', 'room', 'corridor']",False
butter dish,dining room,dining room,"['bar', 'freezer', 'trap', 'attic', 'dining room']",True
butterknife,kitchen,kitchen,"['kitchen', 'family room', 'bathroom', 'bedroom', 'childs room']",True
cabinet,kitchen,pantry room,"['kitchen', 'childs room', 'pantry room', 'trap', 'closet']",False
cake mix,exercise room,can,"['can', 'can', 'exercise room', 'trap', 'room']",False
cake pan,storage room,box,"['box', 'bar', 'freezer', 'jar', 'storage room']",False
camera,bedroom,family room,"['bar', 'family room', 'bedroom', 'bar', 'house']",False
can opener,garage,dumpster,"['dumpster', 'dumpster', 'trap', 'garage', 'cellar']",False
candle,bathroom,bar,"['childs room', 'bathroom', 'bar', 'bedroom', 'bedroom']",False
candle holder,bathroom,family room,"['bathroom', 'cellar', 'attic', 'can', 'family room']",False
candy,bedroom,box,"['box', 'cellar', 'oven', 'bedroom', 'box']",False
candy bar,playroom,playroom,"['basement', 'oven', 'playroom', 'cellar', 'cellar']",True
canister,dining room,dining room,"['cellar', 'jar', 'dining room', 'trap', 'dumpster']",True
card game,dining room,dining room,"['dining room', 'bar', 'basement', 'jar', 'dumpster']",True
carrying case,childs room,oven,"['trap', 'box', 'freezer', 'childs room', 'oven']",False
casserole dish,home office,oven,"['box', 'basement', 'home office', 'trap', 'oven']",False
cd,bedroom,bedroom,"['box', 'house', 'lobby', 'bedroom', 'kitchen']",True
cellphone,living room,room,"['living room', 'exercise room', 'bathroom', 'room', 'trap']",False
cereal,exercise room,jar,"['bar', 'basement', 'cellar', 'jar', 'exercise room']",False
chain,playroom,cellar,"['playroom', 'family room', 'bar', 'cellar', 'bar']",False
chair,bedroom,home office,"['dining room', 'exercise room', 'home office', 'bedroom', 'cellar']",False
chocolate,exercise room,can,"['freezer', 'trap', 'exercise room', 'can', 'family room']",False
chocolate box,exercise room,cellar,"['trap', 'attic', 'exercise room', 'cellar', 'jar']",False
chocolate milk pods,television room,freezer,"['freezer', 'attic', 'room', 'freezer', 'television room']",False
chocolate powder,television room,house,"['freezer', 'bar', 'dumpster', 'television room', 'house']",False
chopping board,dining room,dining room,"['freezer', 'can', 'dining room', 'room', 'basement']",True
clamp,childs room,jar,"['childs room', 'jar', 'trap', 'attic', 'attic']",False
clay,bathroom,family room,"['bar', 'family room', 'freezer', 'freezer', 'bathroom']",False
clock,home office,home office,"['room', 'house', 'trap', 'dumpster', 'home office']",True
cloth,bathroom,box,"['bathroom', 'freezer', 'box', 'family room', 'dumpster']",False
coffee beans,closet,closet,"['box', 'closet', 'oven', 'attic', 'trap']",True
coffee pods,playroom,jar,"['jar', 'basement', 'playroom', 'freezer', 'cellar']",False
coffeemachine,kitchen,kitchen,"['jar', 'kitchen', 'pantry room', 'childs room', 'lobby']",True
coffeemaker,bathroom,bar,"['room', 'bathroom', 'freezer', 'freezer', 'bar']",False
coffeetable,living room,living room,"['house', 'corridor', 'utility room', 'kitchen', 'living room']",True
colored wood blocks,bathroom,family room,"['bathroom', 'attic', 'cellar', 'box', 'family room']",False
condiment,home office,room,"['room', 'home office', 'dumpster', 'family room', 'trap']",False
countertop,bedroom,oven,"['oven', 'utility room', 'oven', 'corridor', 'bedroom']",False
cracker box,bathroom,room,"['room', 'attic', 'can', 'bathroom', 'trap']",False
crayon,exercise room,room,"['freezer', 'exercise room', 'trap', 'room', 'house']",False
creditcard,bedroom,bedroom,"['bathroom', 'house', 'pantry room', 'lobby', 'bedroom']",True
cube storage box,lobby,basement,"['lobby', 'cellar', 'freezer', 'bar', 'basement']",False
cup,kitchen,kitchen,"['can', 'trap', 'kitchen', 'trap', 'family room']",True
curtain,bedroom,bedroom,"['bar', 'dining room', 'bedroom', 'pantry room', 'house']",True
cushion,television room,room,"['room', 'house', 'television room', 'attic', 'room']",False
desk,living room,living room,"['attic', 'house', 'childs room', 'jar', 'living room']",True
desk caddy,childs room,family room,"['box', 'childs room', 'jar', 'family room', 'attic']",False
desklamp,living room,living room,"['utility room', 'living room', 'jar', 'dining room', 'playroom']",True
desktop,bedroom,bedroom,"['bar', 'dumpster', 'bedroom', 'cellar', 'corridor']",True
diaper pack,home office,home office,"['trap', 'attic', 'can', 'can', 'home office']",True
dietary supplement,storage room,storage room,"['jar', 'storage room', 'cellar', 'cellar', 'basement']",True
diningtable,kitchen,kitchen,"['kitchen', 'pantry room', 'closet', 'freezer', 'corridor']",True
dish drainer,exercise room,cellar,"['freezer', 'family room', 'trap', 'exercise room', 'cellar']",False
dishsponge,bathroom,house,"['house', 'house', 'box', 'bathroom', 'lobby']",False
dishtowel,lobby,oven,"['oven', 'cellar', 'dumpster', 'lobby', 'cellar']",False
dishwasher,kitchen,kitchen,"['playroom', 'childs room', 'kitchen', 'dining room', 'playroom']",True
dispensing closure,television room,bar,"['basement', 'television room', 'dumpster', 'bar', 'cellar']",False
dog bowl,garage,garage,"['trap', 'attic', 'freezer', 'garage', 'oven']",True
dog chew toy,corridor,room,"['room', 'basement', 'corridor', 'attic', 'attic']",False
dogbed,bedroom,bedroom,"['pantry room', 'bedroom', 'exercise room', 'garage', 'storage room']",True
dollhouse toy,bathroom,family room,"['bathroom', 'family room', 'freezer', 'jar', 'jar']",False
donut,television room,television room,"['television room', 'jar', 'dumpster', 'can', 'cellar']",True
drawer,kitchen,kitchen,"['room', 'kitchen', 'trap', 'storage room', 'basement']",True
dresser,bedroom,bedroom,"['oven', 'bedroom', 'utility room', 'utility room', 'house']",True
drink,can,family room,"['can', 'home office', 'house', 'closet', 'family room']",False
drink coaster,playroom,room,"['house', 'room', 'jar', 'playroom', 'cellar']",False
dryer,basement,basement,"['closet', 'television room', 'basement', 'playroom', 'living room']",True
duct tape,dining room,room,"['room', 'dining room', 'room', 'trap', 'dumpster']",False
dumbbell,bedroom,basement,"['attic', 'bedroom', 'oven', 'freezer', 'basement']",False
dumbbell rack,living room,room,"['can', 'room', 'can', 'living room', 'room']",False
dustpan and brush,television room,television room,"['freezer', 'house', 'can', 'can', 'television room']",True
dutch oven,kitchen,kitchen,"['kitchen', 'box', 'freezer', 'family room', 'house']",True
easter basket,bedroom,family room,"['bedroom', 'jar', 'dumpster', 'attic', 'family room']",False
egg,kitchen,kitchen,"['oven', 'house', 'television room', 'kitchen', 'oven']",True
electric heater,pantry room,room,"['pantry room', 'room', 'family room', 'oven', 'trap']",False
electric toothbrush,closet,closet,"['cellar', 'bar', 'freezer', 'house', 'closet']",True
electronic adapter,kitchen,kitchen,"['dumpster', 'trap', 'can', 'oven', 'kitchen']",True
electronic cable,living room,living room,"['bar', 'living room', 'can', 'can', 'oven']",True
face moisturizer,television room,family room,"['television room', 'oven', 'family room', 'can', 'freezer']",False
faucet,bathroom,bathroom,"['attic', 'room', 'bathroom', 'dining room', 'bar']",True
file sorter,living room,house,"['house', 'house', 'freezer', 'living room', 'house']",False
fingerpaint,kitchen,kitchen,"['freezer', 'attic', 'kitchen', 'trap', 'house']",True
fitness tracker wristband,utility room,house,"['house', 'utility room', 'basement', 'basement', 'can']",False
flashlight,childs room,house,"['house', 'dumpster', 'jar', 'childs room', 'dumpster']",False
flat screwdriver,exercise room,box,"['exercise room', 'box', 'trap', 'oven', 'basement']",False
floor,living room,living room,"['exercise room', 'television room', 'dumpster', 'basement', 'living room']",True
floorlamp,living room,living room,"['attic', 'lobby', 'trap', 'box', 'living room']",True
foam brick,television room,television room,"['can', 'trap', 'can', 'television room', 'bar']",True
folder,corridor,family room,"['basement', 'family room', 'dumpster', 'box', 'corridor']",False
fondant,playroom,box,"['trap', 'box', 'basement', 'playroom', 'family room']",False
