object,correct_location,predicted_location,location_choices,correct_prediction
action figure,childs room,bar,"['bar', 'freezer', 'dumpster', 'basement', 'childs room']",False
adjustable wrench,childs room,box,"['room', 'house', 'childs room', 'bar', 'box']",False
alarmclock,bedroom,bedroom,"['bedroom', 'freezer', 'television room', 'cellar', 'trap']",True
aluminumfoil,kitchen,kitchen,"['living room', 'attic', 'television room', 'kitchen', 'basement']",True
android figure,exercise room,basement,"['basement', 'jar', 'exercise room', 'dumpster', 'oven']",False
anti slip tape,bedroom,bedroom,"['oven', 'can', 'can', 'oven', 'bedroom']",True
antidepressant,playroom,jar,"['jar', 'playroom', 'bar', 'family room', 'room']",False
apple,kitchen,kitchen,"['family room', 'kitchen', 'oven', 'room', 'oven']",True
armchair,living room,living room,"['freezer', 'living room', 'freezer', 'can', 'lobby']",True
backpack,storage room,storage room,"['family room', 'oven', 'storage room', 'trap', 'box']",True
balancing cactus,dining room,dining room,"['bar', 'freezer', 'dumpster', 'dining room', 'house']",True
banana,pantry room,pantry room,"['dumpster', 'attic', 'family room', 'pantry room', 'bar']",True
baseball,bedroom,box,"['freezer', 'box', 'freezer', 'room', 'bedroom']",False
baseballbat,bedroom,box,"['bathroom', 'box', 'bedroom', 'house', 'jar']",False
basketball,bedroom,attic,"['trap', 'bedroom', 'attic', 'freezer', 'jar']",False
bat,attic,box,"['freezer', 'family room', 'box', 'home office', 'attic']",False
bath sheet,dining room,room,"['dumpster', 'dining room', 'jar', 'room', 'cellar']",False
bathtub,bathroom,bathroom,"['attic', 'bathroom', 'family room', 'living room', 'exercise room']",True
bathtubbasin,bathroom,bathroom,"['garage', 'living room', 'room', 'can', 'bathroom']",True
batter,box,dining room,"['dining room', 'dumpster', 'box', 'garage', 'childs room']",False
battery,storage room,storage room,"['house', 'oven', 'family room', 'storage room', 'can']",True
beard color gel,playroom,bar,"['bar', 'playroom', 'trap', 'oven', 'trap']",False
beauty pack,utility room,jar,"['jar', 'oven', 'family room', 'utility room', 'can']",False
bed,bedroom,bedroom,"['living room', 'childs room', 'home office', 'bedroom', 'bathroom']",True
bleach cleanser,kitchen,kitchen,"['attic', 'kitchen', 'family room', 'room', 'oven']",True
blender jar,dining room,bar,"['attic', 'bar', 'family room', 'jar', 'dining room']",False
blind,kitchen,kitchen,"['kitchen', 'playroom', 'trap', 'attic', 'basement']",True
board game,lobby,lobby,"['trap', 'freezer', 'jar', 'lobby', 'dumpster']",True
book,bedroom,bedroom,"['bedroom', 'box', 'attic', 'house', 'oven']",True
bookend,playroom,family room,"['bar', 'freezer', 'attic', 'playroom', 'family room']",False
boot,bedroom,closet,"['closet', 'corridor', 'bedroom', 'house', 'kitchen']",False
