object,correct_location,predicted_location,location_choices,correct_prediction
action figure,childs room,none,"['childs room', 'bar', 'basement', 'dumpster', 'freezer']",False
adjustable wrench,childs room,box,"['box', 'room', 'house', 'childs room', 'bar']",False
alarmclock,bedroom,bedroom,"['television room', 'trap', 'cellar', 'freezer', 'bedroom']",True
aluminumfoil,kitchen,kitchen,"['kitchen', 'television room', 'living room', 'basement', 'attic']",True
android figure,exercise room,jar,"['oven', 'jar', 'exercise room', 'basement', 'dumpster']",False
anti slip tape,bedroom,none,"['can', 'can', 'bedroom', 'oven', 'oven']",False
antidepressant,playroom,bar,"['bar', 'room', 'family room', 'jar', 'playroom']",False
apple,kitchen,kitchen,"['oven', 'oven', 'kitchen', 'room', 'family room']",True
armchair,living room,living room,"['can', 'living room', 'lobby', 'freezer', 'freezer']",True
backpack,storage room,storage room,"['box', 'family room', 'storage room', 'oven', 'trap']",True
balancing cactus,dining room,house,"['freezer', 'house', 'bar', 'dining room', 'dumpster']",False
banana,pantry room,pantry room,"['pantry room', 'attic', 'dumpster', 'family room', 'bar']",True
baseball,bedroom,box,"['box', 'freezer', 'room', 'freezer', 'bedroom']",False
baseballbat,bedroom,box,"['house', 'bedroom', 'jar', 'box', 'bathroom']",False
basketball,bedroom,bedroom,"['attic', 'freezer', 'jar', 'bedroom', 'trap']",True
bat,attic,attic,"['freezer', 'home office', 'attic', 'family room', 'box']",True
bath sheet,dining room,room,"['cellar', 'dumpster', 'room', 'jar', 'dining room']",False
bathtub,bathroom,bathroom,"['bathroom', 'exercise room', 'family room', 'attic', 'living room']",True
bathtubbasin,bathroom,bathroom,"['garage', 'living room', 'can', 'room', 'bathroom']",True
batter,box,garage,"['childs room', 'garage', 'box', 'dining room', 'dumpster']",False
battery,storage room,storage room,"['family room', 'oven', 'house', 'storage room', 'can']",True
beard color gel,playroom,bar,"['playroom', 'bar', 'oven', 'trap', 'trap']",False
beauty pack,utility room,utility room,"['oven', 'can', 'family room', 'utility room', 'jar']",True
bed,bedroom,bedroom,"['living room', 'bathroom', 'childs room', 'home office', 'bedroom']",True
bleach cleanser,kitchen,kitchen,"['attic', 'room', 'kitchen', 'family room', 'oven']",True
blender jar,dining room,bar,"['jar', 'bar', 'family room', 'attic', 'dining room']",False
blind,kitchen,none,"['playroom', 'kitchen', 'attic', 'basement', 'trap']",False
board game,lobby,lobby,"['trap', 'jar', 'dumpster', 'lobby', 'freezer']",True
book,bedroom,bedroom,"['oven', 'bedroom', 'house', 'box', 'attic']",True
bookend,playroom,family room,"['freezer', 'bar', 'attic', 'playroom', 'family room']",False
boot,bedroom,closet,"['corridor', 'kitchen', 'bedroom', 'house', 'closet']",False
bottle,kitchen,kitchen,"['house', 'kitchen', 'dumpster', 'closet', 'childs room']",True
bowl,kitchen,kitchen,"['house', 'kitchen', 'box', 'can', 'bar']",True
box,living room,living room,"['bar', 'living room', 'trap', 'house', 'oven']",True
bread,kitchen,kitchen,"['utility room', 'kitchen', 'corridor', 'childs room', 'dumpster']",True
bundt pan,corridor,none,"['room', 'corridor', 'attic', 'trap', 'jar']",False
butter dish,dining room,freezer,"['dining room', 'freezer', 'bar', 'attic', 'trap']",False
butterknife,kitchen,kitchen,"['kitchen', 'bedroom', 'childs room', 'bathroom', 'family room']",True
cabinet,kitchen,kitchen,"['kitchen', 'childs room', 'closet', 'pantry room', 'trap']",True
cake mix,exercise room,can,"['room', 'exercise room', 'can', 'trap', 'can']",False
cake pan,storage room,storage room,"['storage room', 'freezer', 'bar', 'box', 'jar']",True
camera,bedroom,family room,"['house', 'bedroom', 'bar', 'family room', 'bar']",False
can opener,garage,garage,"['trap', 'cellar', 'garage', 'dumpster', 'dumpster']",True
candle,bathroom,bedroom,"['bedroom', 'bathroom', 'bedroom', 'childs room', 'bar']",False
candle holder,bathroom,family room,"['can', 'bathroom', 'attic', 'cellar', 'family room']",False
candy,bedroom,box,"['oven', 'bedroom', 'cellar', 'box', 'box']",False
candy bar,playroom,basement,"['basement', 'oven', 'playroom', 'cellar', 'cellar']",False
canister,dining room,cellar,"['cellar', 'trap', 'jar', 'dumpster', 'dining room']",False
card game,dining room,dining room,"['bar', 'dining room', 'basement', 'dumpster', 'jar']",True
carrying case,childs room,box,"['freezer', 'box', 'childs room', 'trap', 'oven']",False
casserole dish,home office,oven,"['oven', 'trap', 'box', 'basement', 'home office']",False
cd,bedroom,box,"['lobby', 'house', 'bedroom', 'box', 'kitchen']",False
cellphone,living room,living room,"['trap', 'living room', 'bathroom', 'exercise room', 'room']",True
cereal,exercise room,jar,"['basement', 'exercise room', 'cellar', 'jar', 'bar']",False
chain,playroom,cellar,"['playroom', 'bar', 'bar', 'family room', 'cellar']",False
chair,bedroom,dining room,"['dining room', 'exercise room', 'home office', 'cellar', 'bedroom']",False
chocolate,exercise room,freezer,"['trap', 'freezer', 'family room', 'can', 'exercise room']",False
chocolate box,exercise room,jar,"['cellar', 'attic', 'exercise room', 'jar', 'trap']",False
chocolate milk pods,television room,freezer,"['television room', 'freezer', 'room', 'freezer', 'attic']",False
chocolate powder,television room,house,"['bar', 'dumpster', 'television room', 'house', 'freezer']",False
chopping board,dining room,none,"['room', 'can', 'dining room', 'freezer', 'basement']",False
clamp,childs room,attic,"['attic', 'attic', 'jar', 'trap', 'childs room']",False
clay,bathroom,bar,"['freezer', 'bar', 'bathroom', 'freezer', 'family room']",False
clock,home office,house,"['house', 'dumpster', 'room', 'trap', 'home office']",False
cloth,bathroom,box,"['family room', 'box', 'freezer', 'bathroom', 'dumpster']",False
coffee beans,closet,closet,"['trap', 'attic', 'closet', 'box', 'oven']",True
coffee pods,playroom,basement,"['cellar', 'freezer', 'playroom', 'jar', 'basement']",False
coffeemachine,kitchen,kitchen,"['pantry room', 'jar', 'lobby', 'childs room', 'kitchen']",True
coffeemaker,bathroom,bar,"['freezer', 'bar', 'room', 'bathroom', 'freezer']",False
coffeetable,living room,living room,"['living room', 'corridor', 'utility room', 'kitchen', 'house']",True
colored wood blocks,bathroom,cellar,"['cellar', 'bathroom', 'attic', 'box', 'family room']",False
condiment,home office,room,"['room', 'trap', 'family room', 'dumpster', 'home office']",False
countertop,bedroom,utility room,"['corridor', 'oven', 'bedroom', 'oven', 'utility room']",False
cracker box,bathroom,can,"['bathroom', 'can', 'attic', 'trap', 'room']",False
crayon,exercise room,room,"['freezer', 'trap', 'room', 'exercise room', 'house']",False
creditcard,bedroom,house,"['house', 'pantry room', 'bedroom', 'bathroom', 'lobby']",False
cube storage box,lobby,basement,"['basement', 'freezer', 'bar', 'cellar', 'lobby']",False
cup,kitchen,kitchen,"['kitchen', 'trap', 'family room', 'can', 'trap']",True
curtain,bedroom,dining room,"['bedroom', 'bar', 'house', 'dining room', 'pantry room']",False
cushion,television room,television room,"['house', 'television room', 'attic', 'room', 'room']",True
desk,living room,none,"['childs room', 'jar', 'house', 'living room', 'attic']",False
desk caddy,childs room,none,"['jar', 'attic', 'box', 'childs room', 'family room']",False
desklamp,living room,utility room,"['jar', 'living room', 'dining room', 'utility room', 'playroom']",False
desktop,bedroom,cellar,"['dumpster', 'corridor', 'bar', 'bedroom', 'cellar']",False
diaper pack,home office,home office,"['attic', 'can', 'home office', 'trap', 'can']",True
dietary supplement,storage room,cellar,"['cellar', 'jar', 'cellar', 'storage room', 'basement']",False
diningtable,kitchen,kitchen,"['freezer', 'pantry room', 'corridor', 'closet', 'kitchen']",True
dish drainer,exercise room,none,"['exercise room', 'freezer', 'cellar', 'family room', 'trap']",False
dishsponge,bathroom,none,"['box', 'bathroom', 'house', 'lobby', 'house']",False
dishtowel,lobby,none,"['cellar', 'lobby', 'oven', 'cellar', 'dumpster']",False
dishwasher,kitchen,kitchen,"['playroom', 'kitchen', 'childs room', 'dining room', 'playroom']",True
dispensing closure,television room,cellar,"['cellar', 'bar', 'basement', 'dumpster', 'television room']",False
dog bowl,garage,none,"['freezer', 'garage', 'oven', 'trap', 'attic']",False
dog chew toy,corridor,room,"['corridor', 'room', 'basement', 'attic', 'attic']",False
dogbed,bedroom,bedroom,"['bedroom', 'exercise room', 'storage room', 'garage', 'pantry room']",True
dollhouse toy,bathroom,family room,"['freezer', 'jar', 'bathroom', 'jar', 'family room']",False
donut,television room,jar,"['dumpster', 'cellar', 'jar', 'can', 'television room']",False
drawer,kitchen,kitchen,"['kitchen', 'room', 'storage room', 'basement', 'trap']",True
dresser,bedroom,bedroom,"['oven', 'house', 'utility room', 'utility room', 'bedroom']",True
drink,can,can,"['closet', 'family room', 'home office', 'house', 'can']",True
drink coaster,playroom,room,"['cellar', 'jar', 'room', 'playroom', 'house']",False
dryer,basement,basement,"['playroom', 'basement', 'living room', 'closet', 'television room']",True
duct tape,dining room,room,"['room', 'room', 'dumpster', 'trap', 'dining room']",False
dumbbell,bedroom,basement,"['freezer', 'bedroom', 'basement', 'oven', 'attic']",False
dumbbell rack,living room,none,"['can', 'room', 'room', 'can', 'living room']",False
dustpan and brush,television room,television room,"['can', 'freezer', 'can', 'television room', 'house']",True
dutch oven,kitchen,kitchen,"['kitchen', 'freezer', 'house', 'family room', 'box']",True
easter basket,bedroom,family room,"['attic', 'family room', 'dumpster', 'jar', 'bedroom']",False
egg,kitchen,kitchen,"['house', 'kitchen', 'television room', 'oven', 'oven']",True
electric heater,pantry room,room,"['pantry room', 'oven', 'room', 'family room', 'trap']",False
electric toothbrush,closet,bar,"['closet', 'bar', 'house', 'freezer', 'cellar']",False
electronic adapter,kitchen,kitchen,"['oven', 'kitchen', 'trap', 'can', 'dumpster']",True
electronic cable,living room,living room,"['oven', 'living room', 'can', 'bar', 'can']",True
face moisturizer,television room,none,"['can', 'television room', 'family room', 'freezer', 'oven']",False
faucet,bathroom,bathroom,"['room', 'attic', 'bathroom', 'dining room', 'bar']",True
file sorter,living room,house,"['house', 'freezer', 'house', 'living room', 'house']",False
fingerpaint,kitchen,attic,"['freezer', 'trap', 'attic', 'kitchen', 'house']",False
fitness tracker wristband,utility room,house,"['utility room', 'basement', 'can', 'house', 'basement']",False
flashlight,childs room,house,"['dumpster', 'jar', 'house', 'dumpster', 'childs room']",False
flat screwdriver,exercise room,box,"['oven', 'box', 'basement', 'exercise room', 'trap']",False
floor,living room,living room,"['living room', 'basement', 'dumpster', 'television room', 'exercise room']",True
floorlamp,living room,living room,"['living room', 'trap', 'box', 'attic', 'lobby']",True
foam brick,television room,television room,"['can', 'television room', 'bar', 'trap', 'can']",True
folder,corridor,family room,"['family room', 'basement', 'corridor', 'box', 'dumpster']",False
fondant,playroom,box,"['basement', 'trap', 'family room', 'playroom', 'box']",False
footstool,bathroom,dining room,"['storage room', 'basement', 'bathroom', 'dining room', 'cellar']",False
fork,kitchen,kitchen,"['kitchen', 'box', 'basement', 'house', 'house']",True
fridge,kitchen,kitchen,"['basement', 'bathroom', 'basement', 'kitchen', 'home office']",True
fruit snack,utility room,jar,"['can', 'jar', 'cellar', 'family room', 'utility room']",False
furnace,basement,basement,"['basement', 'box', 'living room', 'bathroom', 'jar']",True
garbage,dumpster,dumpster,"['dumpster', 'basement', 'living room', 'can', 'box']",True
garbagebag,kitchen,dumpster,"['attic', 'kitchen', 'utility room', 'dining room', 'dumpster']",False
garbagecan,kitchen,kitchen,"['room', 'kitchen', 'garage', 'exercise room', 'room']",True
gelatin box,closet,freezer,"['freezer', 'closet', 'dumpster', 'bar', 'house']",False
glove,childs room,jar,"['jar', 'childs room', 'attic', 'attic', 'dumpster']",False
golf ball,living room,family room,"['trap', 'freezer', 'family room', 'oven', 'living room']",False
graphics card,living room,cellar,"['house', 'living room', 'family room', 'oven', 'cellar']",False
hair color,playroom,box,"['cellar', 'box', 'trap', 'playroom', 'freezer']",False
hair conditioner,dining room,none,"['attic', 'dumpster', 'dining room', 'house', 'cellar']",False
hair dryer,bathroom,bathroom,"['bathroom', 'trap', 'family room', 'family room', 'can']",True
hair straightener,exercise room,box,"['basement', 'oven', 'exercise room', 'can', 'box']",False
hammer,home office,home office,"['cellar', 'home office', 'oven', 'dumpster', 'family room']",True
hand bell,dining room,room,"['can', 'room', 'trap', 'cellar', 'dining room']",False
handbag,exercise room,family room,"['box', 'attic', 'jar', 'family room', 'exercise room']",False
handtowel,bathroom,bathroom,"['can', 'bathroom', 'bar', 'utility room', 'house']",True
