object,correct_location,predicted_location,location_choices,correct_prediction
action figure,childs room,bar,"['childs room', 'dumpster', 'basement', 'bar', 'freezer']",False
adjustable wrench,childs room,bar,"['box', 'childs room', 'room', 'bar', 'house']",False
alarmclock,bedroom,bedroom,"['bedroom', 'trap', 'television room', 'cellar', 'freezer']",True
aluminumfoil,kitchen,kitchen,"['kitchen', 'living room', 'television room', 'attic', 'basement']",True
android figure,exercise room,exercise room,"['exercise room', 'dumpster', 'jar', 'basement', 'oven']",True
anti slip tape,bedroom,oven,"['bedroom', 'oven', 'can', 'oven', 'can']",False
antidepressant,playroom,bar,"['family room', 'jar', 'room', 'bar', 'playroom']",False
apple,kitchen,kitchen,"['oven', 'oven', 'family room', 'kitchen', 'room']",True
armchair,living room,living room,"['can', 'lobby', 'living room', 'freezer', 'freezer']",True
backpack,storage room,storage room,"['storage room', 'family room', 'oven', 'trap', 'box']",True
balancing cactus,dining room,bar,"['bar', 'freezer', 'dining room', 'house', 'dumpster']",False
banana,pantry room,pantry room,"['bar', 'family room', 'pantry room', 'dumpster', 'attic']",True
baseball,bedroom,box,"['room', 'freezer', 'freezer', 'bedroom', 'box']",False
baseballbat,bedroom,box,"['bedroom', 'bathroom', 'box', 'jar', 'house']",False
basketball,bedroom,bedroom,"['jar', 'trap', 'bedroom', 'freezer', 'attic']",True
bat,attic,attic,"['box', 'family room', 'attic', 'freezer', 'home office']",True
bath sheet,dining room,room,"['dumpster', 'cellar', 'dining room', 'jar', 'room']",False
bathtub,bathroom,bathroom,"['family room', 'living room', 'exercise room', 'bathroom', 'attic']",True
bathtubbasin,bathroom,bathroom,"['garage', 'living room', 'room', 'bathroom', 'can']",True
batter,box,box,"['dining room', 'dumpster', 'box', 'childs room', 'garage']",True
battery,storage room,storage room,"['house', 'storage room', 'family room', 'can', 'oven']",True
beard color gel,playroom,bar,"['trap', 'oven', 'trap', 'playroom', 'bar']",False
beauty pack,utility room,utility room,"['utility room', 'family room', 'oven', 'jar', 'can']",True
